tanggal,pm10,pm25,so2,co,o3,no2,Tavg,RH_avg,RR,ss,ff_avg,DDD_CAR_cos,DDD_CAR_sin
2025-06-01,57.6,90.6,47.2,12.6,28.4,32.6,28.3,75.0,1.6,6.3,1.0,0.0,0.0
2025-06-02,63.0,100.0,34.0,15.0,18.0,39.0,29.4,76.0,0.0,0.2,1.0,0.0,0.0
2025-06-03,57.0,85.0,30.0,16.0,16.0,45.0,29.5,76.0,0.0,4.2,0.0,0.0,0.0
2025-06-04,73.0,119.0,29.0,25.0,15.0,54.0,30.2,74.0,0.0,7.0,1.0,0.0,0.0
2025-06-05,73.0,116.0,30.0,23.0,17.0,51.0,29.8,73.0,0.0,3.7,1.0,0.0,0.0
2025-06-06,61.0,92.0,29.0,16.0,20.0,38.0,29.3,74.0,0.0,4.2,1.0,0.0,0.0
2025-06-07,59.0,110.0,28.0,20.0,21.0,38.0,28.6,82.0,36.2,2.0,1.0,0.0,0.0
2025-06-08,67.0,103.0,30.0,17.0,29.0,20.0,28.9,76.0,16.5,4.0,1.0,0.0,0.0
2025-06-09,49.0,76.0,26.0,12.0,13.0,33.0,29.0,78.0,0.0,3.8,1.0,0.0,0.0
2025-06-10,61.0,36.0,28.0,17.0,13.0,41.0,29.1,81.0,27.3,2.6,1.0,0.0,0.0
2025-06-11,53.0,83.0,26.0,19.0,11.0,44.0,28.4,79.0,30.5,2.8,2.0,6.123233995736766e-17,1.0
2025-06-12,52.0,97.0,30.0,15.0,15.0,34.0,29.2,74.0,0.0,2.7,1.0,0.0,0.0
2025-06-13,58.0,98.0,31.0,14.0,16.0,35.0,30.0,71.0,0.0,2.8,1.0,0.0,0.0
2025-06-14,55.0,88.0,32.0,13.0,13.0,35.0,27.9,80.0,0.0,2.9,1.0,0.0,0.0
2025-06-15,52.0,76.0,32.0,14.0,10.0,27.0,29.2,76.0,10.6,1.0,1.0,0.0,0.0
